Loading, Zaladunek...
AppDescription, Shader Mod Realistic Minecraft - ultra shadery dla realistycznej rozgrywki w naszej aplikacji MCPE
Mods, Moda
Instruction, Instrukcje
Polytics, Polityka prywatnosci
InstructionText, 1. Przejdz na strone interesujacego Cie moda klikajac na przycisk z nazwa moda.\n2. Wybierz mod ktory Cie interesuje i kliknij przycisk Otworz.\n3. Kliknij przycisk pobierania.\n4. Poczekaj na zainstalowanie moda.\n5. Kliknij przycisk Otworz dodatek. Nastepnie Minecraft otworzy sie i nastapi import. Jesli import sie nie powiedzie zamknij Minecraft i otworz mod ponownie.\n6. Jesli wszystko zrobiles poprawnie a wersja Twojego Minecrafta jest zgodna z obslugiwanymi wersjami zobaczysz komunikat „Import udany:”\n7. Stworz nowy swiat. W zakladce „Dodatki” kliknij „Zestawy zasobow” nastepnie kliknij „Moje zestawy” znajdz i wybierz zainstalowany dodatek i kliknij aktywuj.\n8. Nie zapomnij także zastosowac zestawów parametrow jesli takie istnieja. Kliknij „Zestawy parametrow” a nastepnie „Moje zestawy” znajdz i wybierz zainstalowany dodatek a nastepnie kliknij aktywuj. Jesli nie ma zadnych parametrow mozesz pominac ten krok.\n9. Kliknij Stworz swiat i ciesz sie gra z nowym dodatkiem!
Install, Zainstalowac
Installing, Instalacja
TapToContinue, Kliknij, aby kontynuowac...
ModIsInstalling, Mod jest zainstalowany:
ModIsInstalled, Zainstalowany mod:
OpenMod, Otworz moda
Mod1Name, Mapa: FNAF
Mod1Description, Dodatkowo roboty przebrane za urocze zwierzątka witają nas ponownie w Freddy's Pizzeria. Oczywiście te zwierzęta nie będą tak przyjemne w nocy i będziesz musiał wyjść. Ponieważ animatorzy nie mogą istnieć bez walki, musisz walczyć z nimi na niestandardowej mapie FNaF CrXzy w Minecrafcie. \nJest tu już pizzeria, ale możesz ją zmienić według własnego uznania. Dostępna jest także gra fabularna, w którą można grać z przyjaciółmi.
Mod2Name, Mapa: Pięć nocy u Freddy'ego – naruszenie bezpieczeństwa
Mod2Description, Tworzenie mapy Functional FNaF Security Breach zaczęto tworzyć już w grudniu, ale ukończono ją dopiero po sześciu miesiącach, a czasem nawet dłużej. Próbował odbudować ogromną pizzerię Freddy'ego Fazbeara, wykorzystując każdą możliwą przestrzeń. Po ośmiu miesiącach budowy będziesz mógł odwiedzić to wyjątkowe i ogromne centrum handlowe w Minecraft, gdy wszystko będzie gotowe.\nAby zainspirować Cię do budowy nowych budynków, musisz odwiedzić ten duży, piękny budynek. Taki budynek na pewno nie będzie Ci się nudził, a jeśli dodasz do niego animatronikę, zabawa będzie jeszcze większa.
Mod3Name, Mod: FNAF 6 Halloween
Mod3Description, Już teraz powinniśmy zacząć przygotowywać się do Halloween. Autor moda FFPS/FNAF 6 Halloween postanowił stworzyć dodatek, który pozwoli graczom uczcić najstraszniejsze wydarzenie roku. Minecraft może zawierać przerażające animatroniki i inne potwory, które przestraszą nawet najodważniejszych rzemieślników.\nW zestawie: Ragged Freddy, Ragged Bonnie, Ragged Chica, Ragged Foxy, Opętany Lewy i Marionetka, którą można złamać.\nVampire Jester Pomocna i pluszowa zabawka Treblox z teksturowanymi obrazami