Loading, Загрузка...
AppDescription, Shader Mod Realistic Minecraft - ультра шейдеры для реалистичной игры в нашем приложении MCPE
Mods, Моды
Instruction, Инструкция
Polytics, Политика конфиденциальности
InstructionText, 1. Перейдите на страницу интересующего вас мода, нажав на кнопку с названием мода.\n2. Выберете интересующий вас мод и нажмите кнопку открыть.\n3. Нажмите кнопку скачать.\n4. Дождитесь установки мода.\n5. Нажмите кнопку открыть аддон. После у вас откроется Minecraft и произойдёт импорт. Если импорт не произошёл, закройте майнкрафт и откройте мод заново.\n6. Если вы всё сделали правильно и версия вашего майнкрафта совпадает содержится в поддерживаемых версиях, то вы увидете фразу Успешный импорт:\n7. Создайте новый мир. Во вкладке Дополнения нажмите Наборы ресурсов, после нажмите Мои наборы найдите и выберите установленный аддон и нажмите активировать.\n8. Также, не забудьте применить наборы параметров, если они есть. Нажмите Наборы параметров после нажмите Мои наборы найдите и выберите установленный аддон и нажмите активировать. Если параметров нет, можете пропустить этот шаг.\n9. Нажмите создать мир и наслаждайтесь игрой с новым аддоном!
Install, Установить
Installing, Устанавливается...
TapToContinue, Нажмите, чтобы продолжить...
ModIsInstalling, Устанавливается мод:
ModIsInstalled, Установлен мод:
OpenMod, Открыть мод
Mod1Name, Карта: ФНАФ
Mod1Description, Кроме того, роботы, одетые в очаровательные звери, снова приветствуют нас в пиццерии Фредди. Естественно, эти звери будут не такими приятными по ночам, и тебе придется уйти. Поскольку аниматорики не могут существовать без боя, вам нужно сразиться с ними на карте CrXzy's Custom FNaF в Minecraft. \nЗдесь уже есть пиццерия, но вы можете изменить ее, как пожелаете. Также доступна ролевая игра, которую можно играть с друзьями.
Mod2Name, Карта: Пять ночей у Фредди — Нарушение безопасности
Mod2Description, Карту Functional FNaF Security Breach начали создавать еще в декабре, но закончили ее только через полгода, а иногда даже больше. Он пытался восстановить огромную пиццерию Фредди Фазбира, используя все возможные помещения. После восьми месяцев постройки вы сможете посетить этот уникальный и огромный торговый центр в Minecraft, когда все будет готово.\nЧтобы вдохновить вас на новые постройки, вы должны посетить это большое, красивое здание. С такой постройкой точно не заскучаешь, и если добавить аниматроников, будет еще веселее.
Mod3Name, Мод: ФНАФ 6 Хеллоуин
Mod3Description, Мы должны уже сейчас начать готовить себя к Хеллоуину. Автор мода FFPS/FNAF 6 Halloween решил сделать дополнение, которое позволит игрокам отметить самое жуткое событие года. В игре Minecraft могут появиться ужасные аниматроники и другие монстры, которые напугать даже самых отважных крафтеров.\nФункции: Рваный Фредди, Рваная Бонни, Рваный Чика, Рваный Фокси, Одержимый Лефти и Марионетка, которая может быть сломана.\nВампирский шут Хелпи и плюшевая игрушка Треблокс с текстурированными изображениями